"spotify_id";"name";"artist";"position";"genre_name"
"6lV2MSQmRIkycDScNtrBXO";"Airplanes (feat. Hayley Williams of Paramore)";"B.o.B, Hayley Williams";"1";"pop rap"
"4hrae8atte6cRlSC9a7VCO";"Always On Time";"Ja Rule, Ashanti";"2";"pop rap"
"03tqyYWC9Um2ZqU0ZN849H";"No Hands [feat. Roscoe Dash and Wale]";"Waka Flocka Flame";"3";"pop rap"
"66TRwr5uJwPt15mfFkzhbi";"Crank That (Soulja Boy)";"Soulja Boy";"4";"pop rap"
"3rMyMv8EjKXoPnaRo2hdJN";"Stuntin' Like My Daddy - Street";"Birdman, Lil Wayne";"5";"pop rap"
"0uFvvXbmGIXlf5ZgtHyYpf";"Bugatti";"Ace Hood, Future, Rick Ross";"6";"pop rap"
"7wqSzGeodspE3V6RBD5W8L";"See You Again (feat. Charlie Puth)";"Wiz Khalifa, Charlie Puth";"7";"pop rap"
"6t2ubAB4iSYOuIpRAOGd4t";"Cake";"Flo Rida, 99 Percent";"8";"pop rap"
"5IZc3KIVFhjzJ0L2kiXzUl";"Promise";"Kid Ink, Fetty Wap";"9";"pop rap"
"3B7i9OKRRmIsSBHEbJz58Y";"Grind With Me";"Pretty Ricky";"10";"pop rap"
"3tvWMBIblzT5FSjKtIeRR1";"Whatever You Like";"T.I.";"11";"pop rap"
"1hWYT0w2R0J19rlVkiez7X";"Battle Scars";"Lupe Fiasco, Guy Sebastian";"12";"pop rap"
"14B2bUopOga5V3ypld7d6n";"Suga Suga";"Baby Bash, Frankie J";"13";"pop rap"
"1hGy2eLcmC8eKx7qr1tOqx";"Beautiful Girls - Radio Edit";"Sean Kingston";"14";"pop rap"
"3sDTZD8cxyuKT5oMZcVy5H";"Move (If You Wanna)";"MiMS";"15";"pop rap"
"3hQCHzkE5oSA3F1xM8bpcM";"Hustlin'";"Rick Ross";"16";"pop rap"
"32UioUCnMFsr2UN7SvDyXj";"Slow Jamz";"Twista, Kanye West, Jamie Foxx";"17";"pop rap"
"0kPgn96FXEO9Bnz9QN1Tc0";"We In Da City";"Young Dro";"18";"pop rap"
"3kZoay4ANo86ehb6s4RwS9";"Ridin'";"Chamillionaire, Krayzie Bone";"19";"pop rap"
"4E5IFAXCob6QqZaJMTw5YN";"Poppin' Them Thangs";"G-Unit";"20";"pop rap"
"2aIdVb8v9KTpEZnftkz2mD";"Buy U a Drank (Shawty Snappin')";"T-Pain, Yung Joc";"21";"pop rap"
"6Y9kdB2O0h9gq9y2vclsWT";"Shorty Wanna Ride";"Young Buck";"22";"pop rap"
"0rHJxNaQRMGK6Y4TUx3xRO";"Castro";"Yo Gotti, Kanye West, Big Sean, Quavo, 2 Chainz";"23";"pop rap"
"0mYoKqA23wUUj7BTEgNzjg";"Shawty (feat. T Pain)";"Plies, T-Pain";"24";"pop rap"
"0cNJ3huiV99wvUN1tmQLTL";"Beamer, Benz, Or Bentley - feat. Juelz Santana";"Lloyd Banks";"25";"pop rap"
"6uP0XLqjRqFx8HAfesdcAg";"X Gon' Give It To Ya";"DMX";"26";"pop rap"
